Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
-3893.5208333333335,6700.425,96.93
-7071.6875,3541.0125,96.93
-12358.354166666666,177.47083333333333,94.9
-13997.979166666666,0.0,91.17
-13505.9375,0.0,81.17
-13114.333333333334,0.0,72.87
-13281.9375,0.0,70.01
-13097.458333333334,0.0,66.02
-12826.104166666666,0.0,60.38
-13699.291666666666,0.0,57.48
-12997.729166666666,0.0,56.86
-11193.770833333334,1917.6375,62.27
-7895.458333333333,5947.195833333333,70.08
-2771.0416666666665,12270.095833333333,75.56
-3954.1458333333335,9503.841666666667,73.84
-1037.5,13360.529166666667,70.1
-829.875,13701.4,66.72
1085.0625,21241.041666666668,55.65
127.77083333333331,15682.9,48.23
1432.6458333333333,24331.291666666668,30.08
62.645833333333336,13768.216666666667,16.92
4055.3333333333335,29475.1,29.01
469.0833333333333,16011.908333333333,51.07
-109.625,9535.595833333333,68.03
-461.4791666666667,4690.733333333334,77.56
-2744.375,2624.0291666666667,81.06
-13008.229166666666,174.20833333333334,78.11
-13861.145833333334,0.0,75.62
-13493.083333333334,0.0,67.03
-13251.416666666666,0.0,62.3
-12772.645833333334,0.0,55.75
-13109.104166666666,0.0,50.86
-13228.166666666666,0.0,50.17
-13970.833333333334,0.0,45.49
-13558.270833333334,1.6541666666666666,46.33
-11130.0,2161.4875,50.83
-6068.708333333333,7701.8625,55.49
-490.0625,17345.3,54.82
1870.9791666666667,27992.858333333334,46.57
6685.25,36308.1875,35.33
18314.27083333333,41454.85,25.78
27572.979166666668,44358.004166666666,19.56
30877.83333333333,45659.20416666667,0.1
27605.77083333333,44272.77916666667,-1.04
24172.77083333333,40998.754166666666,-5.0
21801.8125,35885.82916666667,0.01
12105.270833333334,28041.016666666663,22.5
3830.4166666666665,18750.304166666665,58.02
-492.2083333333333,9914.529166666667,74.62
-723.875,3036.016666666667,79.92
-1288.9791666666667,135.2375,85.03
-8340.479166666666,0.0,94.19
-11498.958333333334,0.0,91.13
-13110.958333333334,0.0,73.1
-13980.729166666666,0.0,67.2
-13591.6875,0.0,64.4
-12779.791666666666,0.0,64.83
-12240.729166666666,0.0,65.72
-12348.354166666666,0.0,73.48
-10905.833333333334,1998.725,95.3
-8384.811715481172,7424.150627615063,100.0
-2253.4309623430963,16709.585774058578,105.05
287.0208333333333,27589.4125,98.99
1394.8125,36350.05,95.0
4525.666666666667,41447.9375,93.1
9241.270833333334,32521.45833333333,89.36
11719.769874476988,39316.20920502092,83.48
14385.666666666666,41008.05833333333,78.4
13968.5,41209.2,77.95
12968.645833333334,35907.2375,85.11
9199.479166666666,27847.475,93.7
2655.770833333333,18467.804166666665,100.0
84.9375,9524.183333333332,110.0
-1237.9791666666667,2638.3125,115.2
-3752.3125,71.9125,110.02
-10208.625,0.0,103.86
-12307.583333333334,0.0,97.78
-13344.291666666666,0.0,85.7
-13758.166666666666,0.0,81.31
-13106.395833333334,0.0,79.7
-13132.583333333334,0.0,77.38
-13170.520833333334,0.0,77.93
-13129.145833333334,0.0,80.9
-11754.937238493723,2184.63179916318,99.03
-8408.4375,7397.3,114.85
-2119.8125,16062.466666666667,111.36
288.6041666666667,26704.025,102.11
2308.333333333333,35065.854166666664,93.01
6402.229166666667,38853.96666666667,88.92
14959.708333333334,45215.35833333333,85.0
15706.375,46034.22083333333,78.3
18924.45833333333,44437.59166666667,75.87
14935.983263598326,40701.07112970711,78.45
11735.666666666666,36195.316666666666,80.3
7887.5,28495.641666666663,86.52
1424.3933054393306,18856.73640167364,98.34
-76.25,9820.775,106.0
