"Time","PVGen"
"2021-07-18 01:00:00","0 W"
"2021-07-18 02:00:00","0 W"
"2021-07-18 03:00:00","0 W"
"2021-07-18 04:00:00","0 W"
"2021-07-18 05:00:00","1.65 W"
"2021-07-18 06:00:00","2.16 kW"
"2021-07-18 07:00:00","7.70 kW"
"2021-07-18 08:00:00","17.3 kW"
"2021-07-18 09:00:00","28.0 kW"
"2021-07-18 10:00:00","36.3 kW"
"2021-07-18 11:00:00","41.5 kW"
"2021-07-18 12:00:00","44.4 kW"
"2021-07-18 13:00:00","45.7 kW"
"2021-07-18 14:00:00","44.3 kW"
"2021-07-18 15:00:00","41.0 kW"
"2021-07-18 16:00:00","35.9 kW"
"2021-07-18 17:00:00","28.0 kW"
"2021-07-18 18:00:00","18.8 kW"
"2021-07-18 19:00:00","9.91 kW"
"2021-07-18 20:00:00","3.04 kW"
"2021-07-18 21:00:00","135 W"
"2021-07-18 22:00:00","0 W"
"2021-07-18 23:00:00","0 W"
"2021-07-19 00:00:00","0 W"
"2021-07-19 01:00:00","0 W"
"2021-07-19 02:00:00","0 W"
"2021-07-19 03:00:00","0 W"
"2021-07-19 04:00:00","0 W"
"2021-07-19 05:00:00","0 W"
"2021-07-19 06:00:00","2.00 kW"
"2021-07-19 07:00:00","7.42 kW"
"2021-07-19 08:00:00","16.7 kW"
"2021-07-19 09:00:00","27.6 kW"
"2021-07-19 10:00:00","36.4 kW"
"2021-07-19 11:00:00","41.4 kW"
"2021-07-19 12:00:00","32.5 kW"
"2021-07-19 13:00:00","39.3 kW"
"2021-07-19 14:00:00","41.0 kW"
"2021-07-19 15:00:00","41.2 kW"
"2021-07-19 16:00:00","35.9 kW"
"2021-07-19 17:00:00","27.8 kW"
"2021-07-19 18:00:00","18.5 kW"
"2021-07-19 19:00:00","9.52 kW"
"2021-07-19 20:00:00","2.64 kW"
"2021-07-19 21:00:00","71.9 W"
"2021-07-19 22:00:00","0 W"
"2021-07-19 23:00:00","0 W"
"2021-07-20 00:00:00","0 W"
"2021-07-20 01:00:00","0 W"
"2021-07-20 02:00:00","0 W"
"2021-07-20 03:00:00","0 W"
"2021-07-20 04:00:00","0 W"
"2021-07-20 05:00:00","0 W"
"2021-07-20 06:00:00","2.18 kW"
"2021-07-20 07:00:00","7.40 kW"
"2021-07-20 08:00:00","16.1 kW"
"2021-07-20 09:00:00","26.7 kW"
"2021-07-20 10:00:00","35.1 kW"
"2021-07-20 11:00:00","38.9 kW"
"2021-07-20 12:00:00","45.2 kW"
"2021-07-20 13:00:00","46.0 kW"
"2021-07-20 14:00:00","44.4 kW"
"2021-07-20 15:00:00","40.7 kW"
"2021-07-20 16:00:00","36.2 kW"
"2021-07-20 17:00:00","28.5 kW"
"2021-07-20 18:00:00","18.9 kW"
"2021-07-20 19:00:00","9.82 kW"
"2021-07-20 20:00:00","2.98 kW"
"2021-07-20 21:00:00","99.4 W"
"2021-07-20 22:00:00","0 W"
"2021-07-20 23:00:00","0 W"
"2021-07-21 00:00:00","0 W"
"2021-07-21 01:00:00","0 W"
"2021-07-21 02:00:00","0 W"
"2021-07-21 03:00:00","0 W"
"2021-07-21 04:00:00","0 W"
"2021-07-21 05:00:00","0 W"
"2021-07-21 06:00:00","1.99 kW"
"2021-07-21 07:00:00","7.48 kW"
