"Time","EDM: Balance"
"2021-09-15 00:00:00","-10.3 kW"
"2021-09-15 01:00:00","-10.1 kW"
"2021-09-15 02:00:00","-8.97 kW"
"2021-09-15 03:00:00","-10.4 kW"
"2021-09-15 04:00:00","-10.6 kW"
"2021-09-15 05:00:00","-10.1 kW"
"2021-09-15 06:00:00","-9.15 kW"
"2021-09-15 07:00:00","-13.3 kW"
"2021-09-15 08:00:00","-16.8 kW"
"2021-09-15 09:00:00","-14.4 kW"
"2021-09-15 10:00:00","-17.0 kW"
"2021-09-15 11:00:00","-9.86 kW"
"2021-09-15 12:00:00","-4.14 kW"
"2021-09-15 13:00:00","-5.04 kW"
"2021-09-15 14:00:00","-10.1 kW"
"2021-09-15 15:00:00","-11.4 kW"
"2021-09-15 16:00:00","-7.68 kW"
"2021-09-15 17:00:00","-9.59 kW"
"2021-09-15 18:00:00","-12.1 kW"
"2021-09-15 19:00:00","-11.4 kW"
"2021-09-15 20:00:00","-11.9 kW"
"2021-09-15 21:00:00","-9.89 kW"
"2021-09-15 22:00:00","-10.8 kW"
"2021-09-15 23:00:00","-9.41 kW"
"2021-09-16 00:00:00","-10.7 kW"
"2021-09-16 01:00:00","-10.5 kW"
"2021-09-16 02:00:00","-9.92 kW"
"2021-09-16 03:00:00","-10.6 kW"
"2021-09-16 04:00:00","-9.84 kW"
"2021-09-16 05:00:00","-10.7 kW"
"2021-09-16 06:00:00","-9.72 kW"
"2021-09-16 07:00:00","-12.3 kW"
"2021-09-16 08:00:00","-13.5 kW"
"2021-09-16 09:00:00","-17.9 kW"
"2021-09-16 10:00:00","-15.7 kW"
"2021-09-16 11:00:00","-8.89 kW"
"2021-09-16 12:00:00","-5.08 kW"
"2021-09-16 13:00:00","258 W"
"2021-09-16 14:00:00","640 W"
"2021-09-16 15:00:00","258 W"
"2021-09-16 16:00:00","-1.84 kW"
"2021-09-16 17:00:00","-2.01 kW"
"2021-09-16 18:00:00","-6.69 kW"
"2021-09-16 19:00:00","-11.1 kW"
"2021-09-16 20:00:00","-10.4 kW"
"2021-09-16 21:00:00","-10.0 kW"
"2021-09-16 22:00:00","-10.9 kW"
"2021-09-16 23:00:00","-9.73 kW"
"2021-09-17 00:00:00","-10.7 kW"
"2021-09-17 01:00:00","-10.1 kW"
"2021-09-17 02:00:00","-10.4 kW"
"2021-09-17 03:00:00","-10.3 kW"
"2021-09-17 04:00:00","-9.54 kW"
"2021-09-17 05:00:00","-10.5 kW"
"2021-09-17 06:00:00","-9.22 kW"
"2021-09-17 07:00:00","-10.7 kW"
"2021-09-17 08:00:00","-11.2 kW"
"2021-09-17 09:00:00","-8.88 kW"
"2021-09-17 10:00:00","-4.57 kW"
"2021-09-17 11:00:00","34.1 W"
"2021-09-17 12:00:00","1.49 kW"
"2021-09-17 13:00:00","5.02 kW"
"2021-09-17 14:00:00","9.85 kW"
"2021-09-17 15:00:00","1.29 kW"
"2021-09-17 16:00:00","4.65 kW"
"2021-09-17 17:00:00","3.25 kW"
"2021-09-17 18:00:00","-41.7 mW"
"2021-09-17 19:00:00","-32.6 W"
"2021-09-17 20:00:00","-807 W"
"2021-09-17 21:00:00","-3.34 kW"
"2021-09-17 22:00:00","-6.11 kW"
"2021-09-17 23:00:00","-8.38 kW"
"2021-09-18 00:00:00","-8.78 kW"
"2021-09-18 01:00:00","-7.95 kW"
"2021-09-18 02:00:00","-8.28 kW"
"2021-09-18 03:00:00","-9.02 kW"
"2021-09-18 04:00:00","-8.01 kW"
"2021-09-18 05:00:00","-8.47 kW"
"2021-09-18 06:00:00","-8.77 kW"
"2021-09-18 07:00:00","-8.22 kW"
"2021-09-18 08:00:00","-4.58 kW"
"2021-09-18 09:00:00","260 W"
"2021-09-18 10:00:00","2.22 kW"
"2021-09-18 11:00:00","8.67 kW"
"2021-09-18 12:00:00","19.2 kW"
"2021-09-18 13:00:00","24.2 kW"
"2021-09-18 14:00:00","23.6 kW"
"2021-09-18 15:00:00","18.3 kW"
"2021-09-18 16:00:00","8.67 kW"
"2021-09-18 17:00:00","3.73 kW"
"2021-09-18 18:00:00","-29.5 W"
"2021-09-18 19:00:00","-93.0 W"
"2021-09-18 20:00:00","-131 W"
"2021-09-18 21:00:00","-2.37 kW"
"2021-09-18 22:00:00","-4.48 kW"
