"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"15.07.2021 02:00 - 15.07.2021 03:00","75.81"
"15.07.2021 03:00 - 15.07.2021 04:00","75.72"
"15.07.2021 04:00 - 15.07.2021 05:00","78.00"
"15.07.2021 05:00 - 15.07.2021 06:00","81.44"
"15.07.2021 06:00 - 15.07.2021 07:00","97.74"
"15.07.2021 07:00 - 15.07.2021 08:00","105.00"
"15.07.2021 08:00 - 15.07.2021 09:00","105.00"
"15.07.2021 09:00 - 15.07.2021 10:00","103.17"
"15.07.2021 10:00 - 15.07.2021 11:00","101.23"
"15.07.2021 11:00 - 15.07.2021 12:00","100.83"
"15.07.2021 12:00 - 15.07.2021 13:00","94.79"
"15.07.2021 13:00 - 15.07.2021 14:00","90.86"
"15.07.2021 14:00 - 15.07.2021 15:00","85.00"
"15.07.2021 15:00 - 15.07.2021 16:00","79.98"
"15.07.2021 16:00 - 15.07.2021 17:00","78.12"
"15.07.2021 17:00 - 15.07.2021 18:00","90.61"
"15.07.2021 18:00 - 15.07.2021 19:00","94.64"
"15.07.2021 19:00 - 15.07.2021 20:00","96.70"
"15.07.2021 20:00 - 15.07.2021 21:00","96.30"
"15.07.2021 21:00 - 15.07.2021 22:00","91.91"
"15.07.2021 22:00 - 15.07.2021 23:00","90.86"
"15.07.2021 23:00 - 16.07.2021 00:00","85.17"
"16.07.2021 00:00 - 16.07.2021 01:00","79.14"
"16.07.2021 01:00 - 16.07.2021 02:00","74.91"
"16.07.2021 02:00 - 16.07.2021 03:00","73.13"
"16.07.2021 03:00 - 16.07.2021 04:00","71.81"
"16.07.2021 04:00 - 16.07.2021 05:00","72.62"
"16.07.2021 05:00 - 16.07.2021 06:00","76.73"
"16.07.2021 06:00 - 16.07.2021 07:00","93.88"
"16.07.2021 07:00 - 16.07.2021 08:00","101.87"
"16.07.2021 08:00 - 16.07.2021 09:00","101.59"
"16.07.2021 09:00 - 16.07.2021 10:00","97.91"
"16.07.2021 10:00 - 16.07.2021 11:00","93.37"
"16.07.2021 11:00 - 16.07.2021 12:00","90.42"
"16.07.2021 12:00 - 16.07.2021 13:00","89.06"
"16.07.2021 13:00 - 16.07.2021 14:00","78.01"
"16.07.2021 14:00 - 16.07.2021 15:00","74.15"
"16.07.2021 15:00 - 16.07.2021 16:00","70.28"
"16.07.2021 16:00 - 16.07.2021 17:00","71.26"
"16.07.2021 17:00 - 16.07.2021 18:00","77.91"
"16.07.2021 18:00 - 16.07.2021 19:00","90.00"
"16.07.2021 19:00 - 16.07.2021 20:00","96.93"
"16.07.2021 20:00 - 16.07.2021 21:00","96.93"
"16.07.2021 21:00 - 16.07.2021 22:00","94.90"
"16.07.2021 22:00 - 16.07.2021 23:00","91.17"
"16.07.2021 23:00 - 17.07.2021 00:00","81.17"
"17.07.2021 00:00 - 17.07.2021 01:00","72.87"
"17.07.2021 01:00 - 17.07.2021 02:00","70.01"
"17.07.2021 02:00 - 17.07.2021 03:00","66.02"
"17.07.2021 03:00 - 17.07.2021 04:00","60.38"
"17.07.2021 04:00 - 17.07.2021 05:00","57.48"
"17.07.2021 05:00 - 17.07.2021 06:00","56.86"
"17.07.2021 06:00 - 17.07.2021 07:00","62.27"
"17.07.2021 07:00 - 17.07.2021 08:00","70.08"
"17.07.2021 08:00 - 17.07.2021 09:00","75.56"
"17.07.2021 09:00 - 17.07.2021 10:00","73.84"
"17.07.2021 10:00 - 17.07.2021 11:00","70.10"
"17.07.2021 11:00 - 17.07.2021 12:00","66.72"
"17.07.2021 12:00 - 17.07.2021 13:00","55.65"
"17.07.2021 13:00 - 17.07.2021 14:00","48.23"
"17.07.2021 14:00 - 17.07.2021 15:00","30.08"
"17.07.2021 15:00 - 17.07.2021 16:00","16.92"
"17.07.2021 16:00 - 17.07.2021 17:00","29.01"
"17.07.2021 17:00 - 17.07.2021 18:00","51.07"
"17.07.2021 18:00 - 17.07.2021 19:00","68.03"
"17.07.2021 19:00 - 17.07.2021 20:00","77.56"
"17.07.2021 20:00 - 17.07.2021 21:00","81.06"
"17.07.2021 21:00 - 17.07.2021 22:00","78.11"
"17.07.2021 22:00 - 17.07.2021 23:00","75.62"
"17.07.2021 23:00 - 18.07.2021 00:00","67.03"
"18.07.2021 00:00 - 18.07.2021 01:00","62.30"
