Time,currentactivepower,plantactivepower,PriceInMWh,PriceInkWh
1.68974E+12,6.441933333,-13.95205833,126.44,0.12644
1.68975E+12,14.40988958,-16.63779583,124.99,0.12499
1.68975E+12,23.68275208,-23.44075208,117.81,0.11781
1.68975E+12,31.705425,-31.25027917,99.9,0.0999
1.68976E+12,31.49571458,-30.70437083,88.48,0.08848
1.68976E+12,37.08772708,-31.10450833,80.74,0.08074
1.68976E+12,22.93527292,-20.28475208,76.83,0.07683
1.68977E+12,23.64832708,-21.44755625,68.66,0.06866
1.68977E+12,17.31440417,-17.34249792,62.47,0.06247
1.68978E+12,29.03474375,-29.04543125,62.24,0.06224
1.68978E+12,24.02814792,-23.92145,71.55,0.07155
1.68978E+12,14.36434792,-14.22255625,75.82,0.07582
1.68979E+12,3.12788125,-3.620652083,94.32,0.09432
1.68979E+12,1.636339583,-5.821089583,112.81,0.11281
1.68979E+12,0.015441667,-12.07838958,128.58,0.12858
1.6898E+12,0,-10.71027083,123.87,0.12387
1.6898E+12,0,-10.50805208,113.79,0.11379
1.6898E+12,0,-9.912564817,100.59,0.10059
1.68981E+12,0,-21.0657581,98.13,0.09813
1.68981E+12,0,-8.950916667,94.35,0.09435
1.68982E+12,0,-10.10802083,83.29,0.08329
1.68982E+12,0,-9.865572917,82.86,0.08286
1.68983E+12,1.222716667,-10.55153958,86.09,0.08609
1.68983E+12,4.008160417,-11.84192083,86.36,0.08636
1.68983E+12,10.21979375,-17.53750208,99.51,0.09951
1.68984E+12,21.23590625,-23.67854167,113.95,0.11395
1.68984E+12,26.62088958,-25.35787917,111.45,0.11145
1.68984E+12,35.14576875,-31.5632375,98.87,0.09887
1.68985E+12,38.71653333,-33.73356458,86.72,0.08672
1.68985E+12,43.55793333,-29.93101667,79.16,0.07916
1.68985E+12,40.04148333,-23.82500417,77.62,0.07762
1.68986E+12,36.37966875,-21.14445,69.41,0.06941
1.68986E+12,30.90941667,-18.115875,69.97,0.06997
1.68987E+12,24.33524375,-17.32318125,74.11,0.07411
1.68987E+12,13.80763542,-13.51094792,76.51,0.07651
1.68987E+12,7.278804167,-7.314595833,85.45,0.08545
1.68988E+12,1.72474375,-2.202327083,102.54,0.10254
1.68988E+12,0.007602083,-5.304675,126.15,0.12615
1.68988E+12,0,-9.45884375,143.55,0.14355
1.68989E+12,0,-9.441270833,139.3,0.1393
1.68989E+12,0,-8.75521875,121.46,0.12146
1.68989E+12,0,-9.150739583,109.4,0.1094
1.6899E+12,0,-8.732385417,102.07,0.10207
1.6899E+12,0,-8.968854167,99.67,0.09967
1.6899E+12,0,-8.225135417,96.31,0.09631
1.68991E+12,0,-8.713083333,94.46,0.09446
