"Time","Radiation"
2022-06-24 23:00:00,0.986
2022-06-25 02:00:00,0.976
2022-06-25 05:00:00,158
2022-06-25 08:00:00,622
2022-06-25 11:00:00,611
2022-06-25 14:00:00,417
2022-06-25 17:00:00,256
2022-06-25 20:00:00,17.8
2022-06-25 23:00:00,1.00
2022-06-26 02:00:00,1.02
2022-06-26 05:00:00,143
2022-06-26 08:00:00,658
2022-06-26 11:00:00,631
2022-06-26 14:00:00,566
2022-06-26 17:00:00,229
2022-06-26 20:00:00,19.2
2022-06-26 23:00:00,1.00
2022-06-27 02:00:00,1.01
2022-06-27 05:00:00,37.9
2022-06-27 08:00:00,93.4
2022-06-27 11:00:00,314
2022-06-27 14:00:00,298
2022-06-27 17:00:00,184
2022-06-27 20:00:00,16.4
2022-06-27 23:00:00,1.04
2022-06-28 02:00:00,1.00
2022-06-28 05:00:00,161
2022-06-28 08:00:00,656
2022-06-28 11:00:00,904
2022-06-28 14:00:00,649
2022-06-28 17:00:00,200
2022-06-28 20:00:00,13.3
2022-06-28 23:00:00,1.07
2022-06-29 02:00:00,1.07
2022-06-29 05:00:00,74.2
2022-06-29 08:00:00,417
2022-06-29 11:00:00,767
2022-06-29 14:00:00,672
2022-06-29 17:00:00,245
2022-06-29 20:00:00,12.5
2022-06-29 23:00:00,1.02
2022-06-30 02:00:00,1.02
2022-06-30 05:00:00,151
2022-06-30 08:00:00,656
2022-06-30 11:00:00,856
2022-06-30 14:00:00,683
2022-06-30 17:00:00,187
2022-06-30 20:00:00,5.77
2022-06-30 23:00:00,1.00
2022-07-01 02:00:00,0.982
2022-07-01 05:00:00,13.6
2022-07-01 08:00:00,105
2022-07-01 11:00:00,573
2022-07-01 14:00:00,459
2022-07-01 17:00:00,206
2022-07-01 20:00:00,11.7
2022-07-01 23:00:00,0.978
2022-07-02 02:00:00,0.979
2022-07-02 05:00:00,159
2022-07-02 08:00:00,674
2022-07-02 11:00:00,913
2022-07-02 14:00:00,726
2022-07-02 17:00:00,250
2022-07-02 20:00:00,11.0
2022-07-02 23:00:00,1.03
2022-07-03 02:00:00,1.02
2022-07-03 05:00:00,153
2022-07-03 08:00:00,665
2022-07-03 11:00:00,902
2022-07-03 14:00:00,699
2022-07-03 17:00:00,259
2022-07-03 20:00:00,12.2
2022-07-03 23:00:00,1.09
2022-07-04 02:00:00,1.07
2022-07-04 05:00:00,124
2022-07-04 08:00:00,623
2022-07-04 11:00:00,820
2022-07-04 14:00:00,686
2022-07-04 17:00:00,287
2022-07-04 20:00:00,21.5
2022-07-04 23:00:00,1.01
2022-07-05 02:00:00,1.01
2022-07-05 05:00:00,147
2022-07-05 08:00:00,657
2022-07-05 11:00:00,919
2022-07-05 14:00:00,750
2022-07-05 17:00:00,233
2022-07-05 20:00:00,12.0
2022-07-05 23:00:00,1.04
2022-07-06 02:00:00,1.02
2022-07-06 05:00:00,104
2022-07-06 08:00:00,605
2022-07-06 11:00:00,793
2022-07-06 14:00:00,699
2022-07-06 17:00:00,195
2022-07-06 20:00:00,20.2
2022-07-06 23:00:00,0.986
2022-07-07 02:00:00,0.988
2022-07-07 05:00:00,49.6
2022-07-07 08:00:00,205
2022-07-07 11:00:00,248
2022-07-07 14:00:00,313
2022-07-07 17:00:00,152
2022-07-07 20:00:00,15.3
2022-07-07 23:00:00,1.10
2022-07-08 02:00:00,1.04
2022-07-08 05:00:00,145
2022-07-08 08:00:00,566
2022-07-08 11:00:00,873
2022-07-08 14:00:00,717
2022-07-08 17:00:00,245
2022-07-08 20:00:00,11.4
2022-07-08 23:00:00,1.03
2022-07-09 02:00:00,1.03
2022-07-09 05:00:00,124
2022-07-09 08:00:00,608
2022-07-09 11:00:00,820
2022-07-09 14:00:00,529
2022-07-09 17:00:00,252
2022-07-09 20:00:00,8.44
2022-07-09 23:00:00,1.08
2022-07-10 02:00:00,1.08
2022-07-10 05:00:00,130
2022-07-10 08:00:00,387
2022-07-10 11:00:00,872
2022-07-10 14:00:00,577
2022-07-10 17:00:00,198
2022-07-10 20:00:00,15.7
2022-07-10 23:00:00,1.09
2022-07-11 02:00:00,1.11
2022-07-11 05:00:00,56.6
2022-07-11 08:00:00,487
2022-07-11 11:00:00,608
2022-07-11 14:00:00,509
2022-07-11 17:00:00,231
2022-07-11 20:00:00,14.7
2022-07-11 23:00:00,1.11
2022-07-12 02:00:00,1.09
2022-07-12 05:00:00,138
2022-07-12 08:00:00,650
2022-07-12 11:00:00,898
2022-07-12 14:00:00,706
2022-07-12 17:00:00,232
2022-07-12 20:00:00,12.4
2022-07-12 23:00:00,1.07
2022-07-13 02:00:00,1.08
2022-07-13 05:00:00,57.2
2022-07-13 08:00:00,496
2022-07-13 11:00:00,807
2022-07-13 14:00:00,343
2022-07-13 17:00:00,215
2022-07-13 20:00:00,15.4
2022-07-13 23:00:00,1.18
2022-07-14 02:00:00,1.08
2022-07-14 05:00:00,90.6
2022-07-14 08:00:00,541
2022-07-14 11:00:00,806
2022-07-14 14:00:00,454
2022-07-14 17:00:00,215
2022-07-14 20:00:00,16.7
2022-07-14 23:00:00,1.08
2022-07-15 02:00:00,1.03
2022-07-15 05:00:00,113
2022-07-15 08:00:00,628
2022-07-15 11:00:00,866
2022-07-15 14:00:00,664
2022-07-15 17:00:00,235
2022-07-15 20:00:00,11.6
2022-07-15 23:00:00,1.03
2022-07-16 02:00:00,1.01
2022-07-16 05:00:00,125
2022-07-16 08:00:00,633
2022-07-16 11:00:00,878
2022-07-16 14:00:00,617
2022-07-16 17:00:00,233
2022-07-16 20:00:00,11.1
2022-07-16 23:00:00,1.06
2022-07-17 02:00:00,1.04
2022-07-17 05:00:00,127
2022-07-17 08:00:00,638
2022-07-17 11:00:00,882
2022-07-17 14:00:00,693
2022-07-17 17:00:00,230
2022-07-17 20:00:00,10.0
2022-07-17 23:00:00,1.04
2022-07-18 02:00:00,1.03
2022-07-18 05:00:00,117
2022-07-18 08:00:00,602
2022-07-18 11:00:00,860
2022-07-18 14:00:00,673
2022-07-18 17:00:00,230
2022-07-18 20:00:00,12.2
2022-07-18 23:00:00,1.06
2022-07-19 02:00:00,1.05
2022-07-19 05:00:00,118
2022-07-19 08:00:00,631
2022-07-19 11:00:00,878
2022-07-19 14:00:00,695
2022-07-19 17:00:00,227
2022-07-19 20:00:00,10.4
2022-07-19 23:00:00,1.13
2022-07-20 02:00:00,1.10
2022-07-20 05:00:00,94.5
2022-07-20 08:00:00,572
2022-07-20 11:00:00,799
2022-07-21 05:00:00,155
2022-07-21 08:00:00,267
2022-07-21 11:00:00,588
2022-07-21 14:00:00,651
2022-07-21 17:00:00,166
2022-07-21 20:00:00,10.7
2022-07-21 23:00:00,1.01
2022-07-22 02:00:00,1.02
2022-07-22 05:00:00,76.1
2022-07-22 08:00:00,589
2022-07-22 11:00:00,852
2022-07-22 14:00:00,667
2022-07-22 17:00:00,201
2022-07-22 20:00:00,8.72
2022-07-22 23:00:00,1.10
2022-07-23 02:00:00,1.06
2022-07-23 05:00:00,28.8
2022-07-23 08:00:00,395
2022-07-23 11:00:00,772
2022-07-23 14:00:00,620
2022-07-23 17:00:00,208
2022-07-23 20:00:00,16.3
2022-07-23 23:00:00,1.05
2022-07-24 02:00:00,1.02
2022-07-24 05:00:00,67.1
2022-07-24 08:00:00,579
2022-07-24 11:00:00,846
2022-07-24 14:00:00,677
2022-07-24 17:00:00,216
2022-07-24 20:00:00,9.75
2022-07-24 23:00:00,1.03
2022-07-25 02:00:00,1.03
2022-07-25 05:00:00,70.1
2022-07-25 08:00:00,600
2022-07-25 11:00:00,691
2022-07-25 14:00:00,413
2022-07-25 17:00:00,201
2022-07-25 20:00:00,6.56
2022-07-25 23:00:00,1.10
2022-07-26 02:00:00,1.07
2022-07-26 05:00:00,45.4
2022-07-26 08:00:00,410
2022-07-26 11:00:00,643
2022-07-26 14:00:00,646
2022-07-26 17:00:00,209
2022-07-26 20:00:00,9.17
2022-07-26 23:00:00,1.05
2022-07-27 02:00:00,1.05
2022-07-27 05:00:00,47.0
2022-07-27 08:00:00,437
2022-07-27 11:00:00,824
2022-07-27 14:00:00,546
2022-07-27 17:00:00,227
2022-07-27 20:00:00,7.94
2022-07-27 23:00:00,1.02
2022-07-28 02:00:00,1.02
2022-07-28 05:00:00,60.8
2022-07-28 08:00:00,551
2022-07-28 11:00:00,712
2022-07-28 14:00:00,488
2022-07-28 17:00:00,161
2022-07-28 20:00:00,18.4
2022-07-28 23:00:00,1.11
2022-07-29 02:00:00,1.08
2022-07-29 05:00:00,42.1
2022-07-29 08:00:00,449
2022-07-29 11:00:00,730
2022-07-29 14:00:00,386
2022-07-29 17:00:00,210
2022-07-29 20:00:00,9.79
2022-07-29 23:00:00,1.11
2022-07-30 02:00:00,1.03
2022-07-30 05:00:00,49.4
2022-07-30 08:00:00,550
2022-07-30 11:00:00,758
2022-07-30 14:00:00,538
2022-07-30 17:00:00,205
2022-07-30 20:00:00,11.3
2022-07-30 23:00:00,1.10
2022-07-31 02:00:00,1.04
2022-07-31 05:00:00,29.9
2022-07-31 08:00:00,399
2022-07-31 11:00:00,681
2022-07-31 14:00:00,511
2022-07-31 17:00:00,195
2022-07-31 20:00:00,7.33
2022-07-31 23:00:00,1.13
2022-08-01 02:00:00,1.11
2022-08-01 05:00:00,30.8
2022-08-01 08:00:00,430
2022-08-01 11:00:00,532
2022-08-01 14:00:00,537
2022-08-01 17:00:00,142
2022-08-01 20:00:00,10.9
2022-08-01 23:00:00,1.12
2022-08-02 02:00:00,1.06
2022-08-02 05:00:00,42.9
2022-08-02 08:00:00,542
2022-08-02 11:00:00,777
2022-08-02 14:00:00,660
2022-08-02 17:00:00,202
2022-08-02 20:00:00,10.7
2022-08-02 23:00:00,1.07
2022-08-03 02:00:00,1.03
2022-08-03 05:00:00,29.6
2022-08-03 08:00:00,558
2022-08-03 11:00:00,830
2022-08-03 14:00:00,646
2022-08-03 17:00:00,187
2022-08-03 20:00:00,6.84
2022-08-03 23:00:00,1.12
2022-08-04 02:00:00,1.09
