"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              06/05/2022 17:00 - 06/05/2022 18:00,"BZN|DE-LU","PT60M",211.59,"EUR"
              06/05/2022 18:00 - 06/05/2022 19:00,"BZN|DE-LU","PT60M",239.09,"EUR"
              06/05/2022 19:00 - 06/05/2022 20:00,"BZN|DE-LU","PT60M",256.79,"EUR"
              06/05/2022 20:00 - 06/05/2022 21:00,"BZN|DE-LU","PT60M",262.69,"EUR"
              06/05/2022 21:00 - 06/05/2022 22:00,"BZN|DE-LU","PT60M",255.91,"EUR"
              06/05/2022 22:00 - 06/05/2022 23:00,"BZN|DE-LU","PT60M",247.78,"EUR"
              06/05/2022 23:00 - 07/05/2022 00:00,"BZN|DE-LU","PT60M",235.46,"EUR"
              07/05/2022 00:00 - 07/05/2022 01:00,"BZN|DE-LU","PT60M",225.12,"EUR"
              07/05/2022 01:00 - 07/05/2022 02:00,"BZN|DE-LU","PT60M",216.94,"EUR"
              07/05/2022 02:00 - 07/05/2022 03:00,"BZN|DE-LU","PT60M",207.36,"EUR"
              07/05/2022 03:00 - 07/05/2022 04:00,"BZN|DE-LU","PT60M",200.01,"EUR"
              07/05/2022 04:00 - 07/05/2022 05:00,"BZN|DE-LU","PT60M",199.50,"EUR"
              07/05/2022 05:00 - 07/05/2022 06:00,"BZN|DE-LU","PT60M",200.10,"EUR"
              07/05/2022 06:00 - 07/05/2022 07:00,"BZN|DE-LU","PT60M",201.78,"EUR"
              07/05/2022 07:00 - 07/05/2022 08:00,"BZN|DE-LU","PT60M",216.28,"EUR"
              07/05/2022 08:00 - 07/05/2022 09:00,"BZN|DE-LU","PT60M",217.04,"EUR"
              07/05/2022 09:00 - 07/05/2022 10:00,"BZN|DE-LU","PT60M",208.57,"EUR"
              07/05/2022 10:00 - 07/05/2022 11:00,"BZN|DE-LU","PT60M",194.17,"EUR"
              07/05/2022 11:00 - 07/05/2022 12:00,"BZN|DE-LU","PT60M",190.67,"EUR"
              07/05/2022 12:00 - 07/05/2022 13:00,"BZN|DE-LU","PT60M",186.55,"EUR"
              07/05/2022 13:00 - 07/05/2022 14:00,"BZN|DE-LU","PT60M",174.37,"EUR"
              07/05/2022 14:00 - 07/05/2022 15:00,"BZN|DE-LU","PT60M",166.70,"EUR"
              07/05/2022 15:00 - 07/05/2022 16:00,"BZN|DE-LU","PT60M",159.17,"EUR"
              07/05/2022 16:00 - 07/05/2022 17:00,"BZN|DE-LU","PT60M",168.22,"EUR"
              07/05/2022 17:00 - 07/05/2022 18:00,"BZN|DE-LU","PT60M",185.30,"EUR"
              07/05/2022 18:00 - 07/05/2022 19:00,"BZN|DE-LU","PT60M",201.62,"EUR"
              07/05/2022 19:00 - 07/05/2022 20:00,"BZN|DE-LU","PT60M",222.74,"EUR"
              07/05/2022 20:00 - 07/05/2022 21:00,"BZN|DE-LU","PT60M",231.57,"EUR"
              07/05/2022 21:00 - 07/05/2022 22:00,"BZN|DE-LU","PT60M",229.00,"EUR"
              07/05/2022 22:00 - 07/05/2022 23:00,"BZN|DE-LU","PT60M",223.12,"EUR"
              07/05/2022 23:00 - 08/05/2022 00:00,"BZN|DE-LU","PT60M",208.38,"EUR"
              08/05/2022 00:00 - 08/05/2022 01:00,"BZN|DE-LU","PT60M",208.10,"EUR"
              08/05/2022 01:00 - 08/05/2022 02:00,"BZN|DE-LU","PT60M",193.30,"EUR"
              08/05/2022 02:00 - 08/05/2022 03:00,"BZN|DE-LU","PT60M",191.92,"EUR"
              08/05/2022 03:00 - 08/05/2022 04:00,"BZN|DE-LU","PT60M",186.01,"EUR"
              08/05/2022 04:00 - 08/05/2022 05:00,"BZN|DE-LU","PT60M",182.98,"EUR"
